PropertyID,VendorID,Address,Size_sf,Available_sf,QuartersTrackedInDatabase,EstimatedCompletionYearQuarter,YearQuarterGroundBroken,BuildingStatusCode,SubPropertyType,buildingName,complex,Latitude,Longitude,CeilingHeight,MarketCode,coords,address_coords,mid_coords
1652888862,2,"501 NE 181st St  North Miami Beach, FL 33162",130030,130030,5,2024.2,2023.1,UC,W,MIAMI I-95 DISTRIBUTION CENTER, ,25.942085,-80.190785,32,MIAMI,"25.942085,-80.190785","25.942103,-80.190665","25.942094,-80.190725"
1652902999,2,"651 W Wildlife Parkway   Grand Prairie, TX 75050",258120,258120,5,2024.3,2023.1,UC,W,WILDLIFE 14,WILDLIFE COMMERCE PARK,32.776839,-97.009772,36,FORTWO,"32.776839,-97.009772","32.77789677,-97.00037164","32.77736789,-97.00507182"
1652860450,2,"Route 301   Upper Marlboro, MD 20774",311040,311040,5,2024.4,2022.4,UC,W,--streetnum is:   to   | building name is BUILDING 1,NATIONAL CAPITAL BUSINESS PARK,38.8711395,-76.7393996,36,WASHIN,"38.8711395,-76.7393996","38.8822,-76.72030545","38.87666975,-76.72985252"
1652896535,2,"355 Ballenger Center Dr  Frederick, MD 21703",45690,45690,5,2024.2,2023.1,UC,W,BUILDING C,BALLENGER CREEK BUSINESS CENTER,39.39626926,-77.42830896,0,WASHIN,"39.39626926,-77.42830896","39.39626926,-77.42830896","39.39626926,-77.42830896"
1652925929,2,"10890 Bennett Pkwy ext  Zionsville, IN 46077",30000,23000,1,2025.1,2024.1,UC,W, ,BENNETT TECHNOLOGY PARK,39.943226,-86.248536,20,INDIAN,"39.943226,-86.248536","39.943226,-86.248536","39.943226,-86.248536"
1652893038,2,"CR 550 S & CR 475 E   Lebanon, IN 46052",400576,400576,7,2024.2,2022.4,UC,W,--streetnum is:   to   | building name is PARK 130 - BLDG 7, ,39.9596458,-86.3806032,36,INDIAN,"39.9596458,-86.3806032","39.9594531,-86.460436","39.95954945,-86.4205196"
1652891189,2,"McCrimmon Pky  Morrisville, NC 27560",168000,168000,3,2024.4,2023.1,UC,W,PATHWAY TRIANGLE | BUILDING 1, ,35.8476023,-78.8192145,40,RALEIG,"35.8476023,-78.8192145","35.83561694,-78.8171727","35.84160962,-78.8181936"
1652910684,2,"2100 State Highway 121   Grapevine, TX 76051",182280,182280,3,2024.4,2023.2,UC,W, , ,32.9607794,-97.0364113,36,FORTWO,"32.9607794,-97.0364113","32.95664813,-97.04166876","32.95871376,-97.03904003"
1652852883,2,"4243 Singleton Blvd  Dallas, TX 75212",196996,0,5,2024.2,2023.2,UC,W,BUILDING 3,TRINITY WEST,32.787097,-96.886384,28,DALLAS,"32.787097,-96.886384","32.780789,-96.890055","32.783943,-96.8882195"
1652901973,2,"1601 Hamlin Rd  Durham, NC 27704",74400,74400,5,2024.2,2023.2,UC,W,BUILDING E, ,36.0223414,-78.8735121,24,RALEIG,"36.0223414,-78.8735121","36.05424327,-78.85959834","36.03829234,-78.86655522"
